Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,1018.0,1021.05,1016.06,1021.05,4531,1021.05
2000-01-04,1021.37,1022.9,1020.43,1022.18,4073,1022.18
2000-01-05,1021.37,1025.2,1017.92,1020.53,2974,1020.53
2000-01-06,1020.7,1023.53,1017.77,1020.36,5135,1020.36
2000-01-07,1017.24,1017.81,1014.94,1017.81,3798,1017.81
2000-01-08,1016.92,1020.63,1015.33,1015.33,6645,1015.33
2000-01-09,1013.0,1016.92,1010.34,1013.29,6476,1013.29
2000-01-10,1013.58,1014.18,1010.62,1012.5,4078,1012.5
2000-01-11,1014.78,1018.31,1014.14,1014.21,3646,1014.21
2000-01-12,1015.94,1017.81,1014.27,1015.48,5662,1015.48
2000-01-13,1017.19,1017.56,1014.98,1015.4,6625,1015.4
2000-01-14,1018.07,1020.08,1017.11,1017.11,5722,1017.11
2000-01-15,1020.16,1023.29,1014.93,1021.4,5174,1021.4
2000-01-16,1020.85,1024.82,1020.41,1021.38,7955,1021.38
2000-01-17,1019.94,1020.94,1018.11,1020.43,3940,1020.43
2000-01-18,1021.51,1023.45,1020.1,1021.02,4215,1021.02
2000-01-19,1018.24,1018.76,1017.89,1017.89,2169,1017.89
2000-01-20,1016.87,1018.48,1016.55,1017.48,8772,1017.48
2000-01-21,1017.96,1018.11,1014.12,1017.92,5120,1017.92
2000-01-22,1022.75,1023.35,1021.0,1021.0,7285,1021.0
2000-01-23,1022.89,1024.71,1020.09,1020.79,6173,1020.79
2000-01-24,1024.68,1025.81,1023.92,1023.92,1898,1023.92
2000-01-25,1023.53,1025.85,1021.69,1025.85,3433,1025.85
2000-01-26,1025.62,1028.08,1025.16,1027.58,1785,1027.58
2000-01-27,1028.08,1029.64,1025.6,1026.1,6043,1026.1
2000-01-28,1026.81,1027.51,1025.45,1027.16,5586,1027.16
2000-01-29,1026.67,1027.65,1024.28,1027.65,3050,1027.65
2000-01-30,1029.81,1031.45,1027.88,1030.42,6644,1030.42
2000-01-31,1034.1,1035.6,1032.32,1032.87,4845,1032.87
2000-02-01,1033.69,1035.87,1033.67,1035.87,4470,1035.87
2000-02-02,1041.63,1043.34,1039.48,1042.35,4553,1042.35
2000-02-03,1044.01,1044.16,1041.74,1041.74,4106,1041.74
2000-02-04,1043.56,1046.05,1043.22,1044.14,3232,1044.14
